index,course number,course name
310,CMET112,Technical Algebra/Trigonometry 
311,CMET211,Environmental Quality 
312,CMET212,Thermodynamics I 
313,CMET228,Construction Materials 
314,CMET241,Structural Steel Drafting 
315,CMET255,Civil & Mech. Prof Skill I 
337,COMM100,Introduction to Communication 
338,COMM101,Oral Communication Skills 
339,COMM105,Listening 
340,COMM111,Public Speaking 
341,COMM112,Persuasive Speaking 
342,COMM130,Business & Professional Comm 
343,COMM140,Intro to Intercultural Comm 
344,COMM204,Visual Communication for Media 
345,COMM214,Interper Comm:Process & Theory 
346,COMM215,Sm Grp Comm: Process & Theory 
347,COMM228,Mass Communication and Society 
348,COMM237,Gender and Communication 
428,CS133G,Introduction to Computer Games 
429,CS133U,C Programming 
430,CS140U,Intro to UNIX/Linux 
431,CS160,Exploring Computer Science 
432,CS161,Computer Science I 
433,CS162,Computer Science II 
434,CS201,Computer Systems 
435,CS250,Discrete Structures I 
436,CS251,Discrete Structures II 
437,CS260,Data Structures 
438,CS261,Programming Systems 
792,CSS200,Soils and Plant Nutrition 
460,D121,Conditioning for Dance 
473,D130A,Modern Dance I 
474,D130B,Modern Dance I 
475,D131A,Modern Dance II 
471,D150,Jazz Dance I 
472,D151,Jazz Dance II 
476,D170,World Dance 
468,D177,Hip Hop 
469,D177B,Hip Hop II 
467,D184,Ballroom Dance 
461,D190A,Ballet I 
462,D190B,Ballet I 
463,D191A,Ballet II 
464,D191B,Ballet II 
477,D209,Dance Performance 
478,D210,Dance Performance 
479,D211,Dance Performance 
470,D275,Dance and Hip Hop Culture 
465,D290A,Ballet III 
466,D290B,Ballet III 
488,DS101,Diesel Rebuild and Lab 
489,DS102,Truck Power Train 
490,DS103,Fuel Injection Systems 
491,DS104,Fund Electricity & Electronics 
492,DS202,Heavy Duty Power Train 
493,DS203,Fuel Inject Syst Diagnostics 
494,DS204,DSL Start/Charge & Elect Cntrl 
480,DST150,Cat Service Tech Internship 
481,DST200,Undercarriage and Final Drive 
482,DST201,Machine Electronic Systems 
483,DST203,Caterpillar Machine Diagnostic 
496,EC200,"Prin Econ: Intro, Inst & Phil "
497,EC201,Prin Econ: Microeconomics 
498,EC202,Prin Econ: Macroeconomics 
499,EC230,Cont Wrld Eco Issu: Intl Econ 
284,ECE120,Intro Early Ed & Fam Studies 
285,ECE121,Observation & Guidance I 
286,ECE122I,Envir/Curr Infants and Toddler 
287,ECE123P,Envir/Curr Preschool 
288,ECE124,Multicultural Practice:Views 
289,ECE130A,Practicum Seminar 1 
290,ECE130B,Practicum Seminar 2 
291,ECE130C,Practicum Seminar 3 
292,ECE131A,Practicum for Exp Teachers 1 
293,ECE131B,Practicum for Exp Teachers 2 
294,ECE133,Practicum 1 in ECE 
295,ECE134,Practicum 2 in ECE 
296,ECE135,Practicum 3 in ECE 
297,ECE196,Communication in ECE 
298,ECE200,The Professional in EEFS 
299,ECE221,Observation and Guidance II 
300,ECE232,Math and Science in ECE 
500,ED100,Introduction to Education 
513,ED112,Intro to Children's Literature 
501,ED124,Inst. Strategies: Math/Science 
502,ED131,Applied Learning Theory 
503,ED136,Learning with Technology 
514,ED136,Learning with Technology 
504,ED217,Classroom Management 
505,ED224,Foundations of Education 
515,ED224,Foundations of Education 
506,ED258,Multicultural Educ: Principles 
507,ED268,Intro Developmental Disabiliti 
508,ED269,Teach Lrning Disabled Student 
509,ED270,Practicum I 
510,ED271,Practicum II 
511,ED272,Practicum III 
512,ED290,Sheltered Instruction for ELLs 
787,ED298A,Ind. Projects in Education 
1256,ED298A,Ind. Projects in Education 
524,EET101,Intro to Elect. Test Equip 
525,EET111,Elec Circuit Analysis I 
526,EET112,Elec Circuit Analysis II 
527,EET121,Digital Systems 1 
528,EET122,Digital Systems 2 
529,EET188,Industrial Safety 
530,EET222,Operational Amplifier Circuits 
531,EET241,Programming for Electronics 
532,EET254,Electronic Engr Tech Seminar 
533,EET261,Biomedical Equipment II 
534,EET280A,CE:Electronic Engineering Tech 
535,EET280C,CE: BMET Practicum 
517,ELT110,Electricity f/Non-Electrician 
518,ELT125,Basic Prog Controllers-PC Base 
519,ELT126,Int Prog Controllers-PC Based 
520,ELT201,Electrical Motor Control 
521,ELT204,Adjustable Speed Drives 
522,ELT220,OSHA 30 HR Safety Training 
523,ELT225,Adv Prog Controllers PC Based 
536,EM101,Intro to Emergency Services 
537,EM110,Theory of Emergency Mgmt 
538,EM112,Theory of Homeland Sec 
539,EM199B,Drone Application 
540,EM202,Hazard Mitigation 
541,EM204,Disaster Response II 
542,EM205,Disaster Recovery 
543,EM211,Public Policy & Law in EM 
544,EM215,Crisis Intervention & CISM 
545,EM299,Emergency Operation Center 
547,EMS100,Intro Emergency Medical Serv 
548,EMS105,EMT Part I 
549,EMS106,EMT Part II 
550,EMS114,Emergency Resp Patient Traspo 
551,EMS116,Emergency Med Serv Rescue 
552,EMS136,Advanced EMT Part 2 
553,EMS240,Paramedic I 
566,ENG104,Intro to Literature (Fiction) 
567,ENG106,Intro to Literature (Poetry) 
568,ENG195,Film Studies: Film as Art 
569,ENG196,Film Studies: Directors 
570,ENG197,Film Studies: Themes & Genres 
571,ENG201,Shakespeare: Early Works 
572,ENG202,Shakespeare: Later Works 
573,ENG213,Latin American Literature 
574,ENG214,Literature of the Northwest 
575,ENG216,Teen and Children's Literature 
576,ENG220,Comics and Graphic Novels 
577,ENG230,Environmental Literature 
578,ENG240,Intro to Native American Lit 
579,ENG250,Intro to Folklore & Mythology 
580,ENG254,American Literature from 1865 
581,ENG260,Intro to Women Writers 
582,ENG265,Literature of Social Protest 
583,ENG269,Wilderness Literature 
554,ENGR100,Exploring Engineering 
555,ENGR101,Engineering Fundamentals 
556,ENGR102,Engineering Graphics 
557,ENGR105,ENG. Graph. 3-D 
558,ENGR114,Engineering Programming 
559,ENGR171,Intro to Digital Logic Design 
560,ENGR211,Statics 
561,ENGR212,Dynamics 
562,ENGR221,Electrical Circuits I 
563,ENGR222,Electrical Circuits II 
564,ENGR262,Manufacturing Processes 
589,ESOL10,Level 1 Integrated Skills 
603,ESOL150,Level 5 Reading 
596,ESOL150N,Level 5 Reading 
604,ESOL152,Level 5 Writing 
597,ESOL152N,Level 5 Writing 
605,ESOL153,Grammar 1 
598,ESOL153N,ESOL Grammar 1 
